2.65,0.37,-3.26
2.65,0.37,-2.86
2.65,0.37,-2.46
3.05,0.37,-2.06
3.45,0.37,-1.66
3.85,0.37,-1.26
3.85,0.37,-0.86
3.85,0.37,-0.46
3.45,0.37,-0.06
3.05,0.37,-0.06
2.65,0.37,-0.06
2.25,0.37,-0.06
1.85,0.37,-0.06
1.45,0.37,-0.06
1.05,0.37,-0.06
0.65,0.37,-0.06
0.25,0.37,-0.06
-0.15,0.37,-0.06
-0.55,0.37,-0.46
-0.55,0.37,-0.86
-0.55,0.37,-1.26
-0.55,0.37,-1.66
-0.55,0.37,-2.06
-0.95,0.37,-2.46
-1.35,0.37,-2.46
-1.75,0.37,-2.46
-2.15,0.37,-2.46
-2.55,0.37,-2.46
-2.95,0.37,-2.46
-3.35,0.37,-2.06
-3.75,0.37,-1.66
-3.75,0.37,-1.26
-3.75,0.37,-0.86
-3.75,0.37,-0.46
-3.75,0.37,-0.06
-3.75,0.37,0.34
-3.75,0.37,0.74
-3.75,0.37,1.14
-3.75,0.37,1.54
-3.75,0.37,1.94
-3.75,0.37,2.34
